id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
30418746,Purple Tulip Studio in the Heart of Amsterdam,156790830,Mila,,Centrum-West,52.37996534320016,4.885727870148884,Private room,200,3,4,2019-01-07,2.79,2,227
30418811,Home in Amsterdam West,209573358,Maaike,,Bos en Lommer,52.3803495486903,4.847909964037644,Entire home/apt,110,5,0,,,1,0
30421945,6 min to city Center II,2917767,Angie,,Watergraafsmeer,52.33837856602897,4.918943351236394,Entire home/apt,60,1,3,2018-12-26,2.50,1,20
30423285,Cozy apartment in a lively area in Amsterdam,45218469,Emma,,De Baarsjes - Oud-West,52.36965080260092,4.8539950030951795,Entire home/apt,100,2,0,,,1,9
30423566,"Spacious, clean and quiet room in Amsterdam",13797239,Wieger,,Bijlmer-Oost,52.31897534214457,4.977201167816912,Private room,35,1,8,2019-01-11,5.85,1,19
30433062,IN THE VIBRANT DE PIJP CLOSE TO SARPHATIPARK,76104209,Rated,,De Pijp - Rivierenbuurt,52.353304712399066,4.900008743539868,Entire home/apt,550,7,0,,,81,364
30434953,A big Amsterdam apartment near City Centre,8351278,Chad,,Bijlmer-Centrum,52.311441445647816,4.9577296061441976,Entire home/apt,80,1,1,2018-12-23,1,1,12
30434991,CLASSIC BOUTIQUE 2BR IN COLOURFUL DE PIJP,76104209,Rated,,De Pijp - Rivierenbuurt,52.353213713100295,4.90001656244644,Entire home/apt,550,7,0,,,81,364
30435125,Bright and light studio close to the city centre,46765146,Gerwin,,Westerpark,52.39043614173834,4.888072406978035,Entire home/apt,90,3,4,2019-01-08,4,2,83
30435529,Amsterdam,41867658,Tamara,,De Baarsjes - Oud-West,52.36567980529239,4.8781039886929705,Entire home/apt,85,2,6,2019-01-09,5.29,1,8
30435719,Amsterdam Nice family house in the city centre,13123520,Mieke,,Oud-Oost,52.36400750707897,4.925085994590638,Entire home/apt,210,3,2,2019-01-02,2,1,1
30435971,SWEET SERENITY IN PIJP,76104209,Rated,,De Pijp - Rivierenbuurt,52.351210671826,4.900170604062757,Entire home/apt,550,7,0,,,81,364
30437474,BOUTIQUE 2BR APARTMENT IN PIJP,76104209,Rated,,De Pijp - Rivierenbuurt,52.35143492654835,4.900084485480547,Entire home/apt,550,7,0,,,81,364
30439148,Best of the Best -Stylish Modern Apartment,65859990,Martijn,,Bos en Lommer,52.37671212226034,4.849320923172274,Entire home/apt,89,2,0,,,210,8
30440134,Couple's Choice - Most Romantic Loft In Amsterdam,65859990,Martijn,,Noord-West,52.405657115452776,4.908851438709313,Entire home/apt,81,2,0,,,210,14
30440989,"Bright, colourful apartment in popular de Pijp",21566610,Tamara,,De Pijp - Rivierenbuurt,52.35732902731872,4.900824185255399,Entire home/apt,65,1,4,2018-12-27,3.75,1,7
30441469,Top Floor Apartment  for Top Quality Experiences,65859990,Martijn,,Centrum-West,52.37488196549268,4.89771887189274,Entire home/apt,243,2,3,2019-01-01,3,210,0
30442884,Stylish city apartment on Kinkerstraat,1522654,Jfa,,De Baarsjes - Oud-West,52.366399110385245,4.864912404969826,Entire home/apt,100,2,1,2019-01-10,1,1,6
30443414,Charming and bright apartment in Amsterdam West,20162981,Jm,,Bos en Lommer,52.37650803695324,4.856472255768566,Entire home/apt,125,2,0,,,1,175
